rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,HZ_bin,Temp_habitable_bin,H_index
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,1.0,0,0,0,0,46.1842039,0.0002654,-0.0002654,165.23729,0.0043,-0.0043,0.013,0.415,-0.013,4.758,0.13,-0.13,1394.7,56.4,-56.4,1.83,0.12,-0.15,273.0,,,1.32,0.29,-0.3,26.0,3.0,q1_q17_dr25_tce,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,0.033,-0.04,286.07913,39.27832,15.954,1,1,1.0
318,10460629,K01168.01,,CANDIDATE,CANDIDATE,,0,0,0,0,856.672115,0.009591,-0.009591,228.44988,0.00727,-0.00727,0.1158,0.2441,-0.1157,23.144,0.287,-0.287,858.1,27.7,-27.7,3.87,1.94,-0.75,242.0,,,0.81,1.22,-0.35,39.2,,,6449.0,163.0,-210.0,4.232,0.163,-0.27,1.309,0.656,-0.254,287.58679,47.600021,13.997,1,1,1.0
611,2574201,K01025.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,37.4783492,0.0002939,-0.0002939,157.31713,0.00603,-0.00603,1.161,68.41,-0.38,5.317,0.341,-0.341,1467.9,84.6,-84.6,10.05,0.78,-1.03,262.0,,,1.12,0.27,-0.29,18.3,1.0,q1_q17_dr25_tce,3687.0,65.0,-80.0,4.813,0.048,-0.036,0.44,0.034,-0.045,291.10846,37.857792,15.501,1,1,1.0
663,6960913,K01361.01,Kepler-61 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,59.8780258,0.0001502,-0.0001502,151.1847,0.0021,-0.0021,0.004,0.411,-0.004,4.8027,0.0705,-0.0705,1419.1,32.3,-32.3,2.19,0.08,-0.14,273.0,,,1.31,0.22,-0.24,51.8,1.0,q1_q17_dr25_tce,4016.0,79.0,-79.0,4.658,0.039,-0.015,0.599,0.023,-0.037,295.3045,42.475288,14.995,1,1,1.0
689,11176127,K01430.03,Kepler-298 d,CONFIRMED,CANDIDATE,0.996,0,0,0,0,77.4740991,0.0003593,-0.0003593,184.24533,0.00451,-0.00451,0.758,0.013,-0.549,4.168,0.125,-0.125,1543.6,60.9,-60.9,2.63,0.18,-0.08,277.0,,,1.4,0.32,-0.19,27.5,2.0,q1_q17_dr25_tce,4463.0,88.0,-88.0,4.677,0.013,-0.04,0.611,0.041,-0.019,283.03979,48.825359,15.415,1,1,1.0
690,11075279,K01431.01,,CANDIDATE,CANDIDATE,0.998,0,0,0,0,345.1589354,0.000426,-0.000426,318.307719,0.000785,-0.000785,0.87,0.004,-0.007,7.5646,0.0644,-0.0644,5087.9,32.1,-32.1,7.79,1.13,-0.36,241.0,,,0.8,0.34,-0.13,197.9,1.0,q1_q17_dr25_tce,5597.0,112.0,-112.0,4.515,0.021,-0.119,0.931,0.136,-0.042,287.02228,48.681938,13.46,1,1,1.0
861,3962440,K01208.01,,CANDIDATE,CANDIDATE,,0,0,0,0,700.00298217,0.0,0.0,249.44205,0.0014,-0.0014,0.143,0.2164,-0.1429,7.6525,0.0939,-0.0939,3245.9,66.9,-66.9,6.43,3.55,-0.68,238.0,,,0.76,1.27,-0.23,60.3,,,6487.0,164.0,-215.0,4.397,0.06,-0.329,1.118,0.617,-0.118,293.61877,39.022572,13.594,1,1,1.0
862,3534076,K01209.01,,CANDIDATE,CANDIDATE,,0,0,0,0,272.0868353,0.0008514,-0.0008514,378.13721,0.00202,-0.00202,0.3629,0.111,-0.3629,2.7145,0.0937,-0.0937,5572.0,296.0,-296.0,5.95,2.67,-0.53,251.0,,,0.93,1.33,-0.25,21.5,,,5587.0,208.0,-168.0,4.548,0.047,-0.273,0.791,0.355,-0.071,288.31436,38.693291,15.166,1,1,1.0
1211,7672940,K01463.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,1064.2680956,0.0002238,-0.0002238,144.086072,0.000158,-0.000158,0.447,0.006,-0.009,11.5521,0.0164,-0.0164,22772.0,23.4,-23.4,33.63,7.31,-15.81,281.0,,,1.47,1.01,-1.11,1171.2,1.0,q1_q17_dr25_tce,6340.0,204.0,-227.0,3.833,0.512,-0.128,2.173,0.472,-1.022,288.25864,43.376465,12.328,1,1,1.0
1277,7811397,K01477.01,,CANDIDATE,CANDIDATE,0.922,0,0,0,0,169.4976085,0.0006769,-0.0006769,228.99997,0.00276,-0.00276,0.625,0.047,-0.406,7.77,0.2,-0.2,12192.0,169.0,-169.0,9.06,0.9,-0.28,272.0,,,1.29,0.37,-0.14,82.8,1.0,q1_q17_dr25_tce,5270.0,84.0,-73.0,4.592,0.009,-0.077,0.787,0.078,-0.024,287.65396,43.505718,15.917,1,1,1.0
